dataset	method	frequency_hz	snr_db	seed	reference_arrival_sample	reference_arrival_ms	pick_sample	signed_error_samples	error_samples	signed_error_ms	error_ms	success	waveform	noise_type
synthetic	AIC	100	-10	3616425042	213	213	123	-90	90	-90	90	TRUE	ricker	WGN
synthetic	AIC	100	-10	3850661378	213	213	446	233	233	233	233	TRUE	ricker	WGN
synthetic	AIC	100	-10	486693484	213	213	54	-159	159	-159	159	TRUE	ricker	WGN
synthetic	AIC	100	-10	3378628463	213	213	202	-11	11	-11	11	TRUE	ricker	WGN
synthetic	AIC	100	-10	3087754340	213	213	211	-2	2	-2	2	TRUE	ricker	WGN
synthetic	AIC	100	-10	2765805392	213	213	197	-16	16	-16	16	TRUE	ricker	WGN
synthetic	AIC	100	-10	2256829030	213	213	176	-37	37	-37	37	TRUE	ricker	WGN
synthetic	AIC	100	-10	2051966371	213	213	35	-178	178	-178	178	TRUE	ricker	WGN
synthetic	AIC	100	-10	3454165393	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	380484544	213	213	16	-197	197	-197	197	TRUE	ricker	WGN
synthetic	AIC	100	-10	3534593648	213	213	259	46	46	46	46	TRUE	ricker	WGN
synthetic	AIC	100	-10	4013433817	213	213	6	-207	207	-207	207	TRUE	ricker	WGN
synthetic	AIC	100	-10	2813003284	213	213	209	-4	4	-4	4	TRUE	ricker	WGN
synthetic	AIC	100	-10	1750226781	213	213	298	85	85	85	85	TRUE	ricker	WGN
synthetic	AIC	100	-10	3067354628	213	213	17	-196	196	-196	196	TRUE	ricker	WGN
synthetic	AIC	100	-10	109686842	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-10	3884049539	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-10	2419132615	213	213	359	146	146	146	146	TRUE	ricker	WGN
synthetic	AIC	100	-10	572901189	213	213	232	19	19	19	19	TRUE	ricker	WGN
synthetic	AIC	100	-10	3322371372	213	213	177	-36	36	-36	36	TRUE	ricker	WGN
synthetic	AIC	100	-10	800172406	213	213	18	-195	195	-195	195	TRUE	ricker	WGN
synthetic	AIC	100	-10	4219936306	213	213	211	-2	2	-2	2	TRUE	ricker	WGN
synthetic	AIC	100	-10	848721859	213	213	440	227	227	227	227	TRUE	ricker	WGN
synthetic	AIC	100	-10	662912106	213	213	446	233	233	233	233	TRUE	ricker	WGN
synthetic	AIC	100	-10	590301241	213	213	3	-210	210	-210	210	TRUE	ricker	WGN
synthetic	AIC	100	-10	2939827334	213	213	233	20	20	20	20	TRUE	ricker	WGN
synthetic	AIC	100	-10	3732336685	213	213	233	20	20	20	20	TRUE	ricker	WGN
synthetic	AIC	100	-10	3652567467	213	213	16	-197	197	-197	197	TRUE	ricker	WGN
synthetic	AIC	100	-10	2408787008	213	213	14	-199	199	-199	199	TRUE	ricker	WGN
synthetic	AIC	100	-10	3306774511	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	2089175742	213	213	378	165	165	165	165	TRUE	ricker	WGN
synthetic	AIC	100	-10	1560035470	213	213	222	9	9	9	9	TRUE	ricker	WGN
synthetic	AIC	100	-10	546098383	213	213	22	-191	191	-191	191	TRUE	ricker	WGN
synthetic	AIC	100	-10	2932588314	213	213	213	0	0	0	0	TRUE	ricker	WGN
synthetic	AIC	100	-10	2878908735	213	213	33	-180	180	-180	180	TRUE	ricker	WGN
synthetic	AIC	100	-10	3142588963	213	213	273	60	60	60	60	TRUE	ricker	WGN
synthetic	AIC	100	-10	2026769271	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	587418126	213	213	443	230	230	230	230	TRUE	ricker	WGN
synthetic	AIC	100	-10	2713249438	213	213	220	7	7	7	7	TRUE	ricker	WGN
synthetic	AIC	100	-10	3755388573	213	213	430	217	217	217	217	TRUE	ricker	WGN
synthetic	AIC	100	-10	4045411826	213	213	249	36	36	36	36	TRUE	ricker	WGN
synthetic	AIC	100	-10	3784361447	213	213	132	-81	81	-81	81	TRUE	ricker	WGN
synthetic	AIC	100	-10	3584800043	213	213	251	38	38	38	38	TRUE	ricker	WGN
synthetic	AIC	100	-10	4207719658	213	213	11	-202	202	-202	202	TRUE	ricker	WGN
synthetic	AIC	100	-10	1630275797	213	213	5	-208	208	-208	208	TRUE	ricker	WGN
synthetic	AIC	100	-10	498653751	213	213	423	210	210	210	210	TRUE	ricker	WGN
synthetic	AIC	100	-10	3269380911	213	213	165	-48	48	-48	48	TRUE	ricker	WGN
synthetic	AIC	100	-10	1176345268	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	3859113008	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-10	2225383257	213	213	6	-207	207	-207	207	TRUE	ricker	WGN
synthetic	AIC	100	-10	1351422511	213	213	283	70	70	70	70	TRUE	ricker	WGN
synthetic	AIC	100	-10	3174758376	213	213	223	10	10	10	10	TRUE	ricker	WGN
synthetic	AIC	100	-10	1853399382	213	213	79	-134	134	-134	134	TRUE	ricker	WGN
synthetic	AIC	100	-10	2420725757	213	213	6	-207	207	-207	207	TRUE	ricker	WGN
synthetic	AIC	100	-10	2740824243	213	213	111	-102	102	-102	102	TRUE	ricker	WGN
synthetic	AIC	100	-10	182487068	213	213	200	-13	13	-13	13	TRUE	ricker	WGN
synthetic	AIC	100	-10	1906250693	213	213	156	-57	57	-57	57	TRUE	ricker	WGN
synthetic	AIC	100	-10	2603485835	213	213	13	-200	200	-200	200	TRUE	ricker	WGN
synthetic	AIC	100	-10	2806507646	213	213	345	132	132	132	132	TRUE	ricker	WGN
synthetic	AIC	100	-10	3175017470	213	213	6	-207	207	-207	207	TRUE	ricker	WGN
synthetic	AIC	100	-10	394417196	213	213	8	-205	205	-205	205	TRUE	ricker	WGN
synthetic	AIC	100	-10	1404900548	213	213	291	78	78	78	78	TRUE	ricker	WGN
synthetic	AIC	100	-10	1432619754	213	213	197	-16	16	-16	16	TRUE	ricker	WGN
synthetic	AIC	100	-10	2445824448	213	213	261	48	48	48	48	TRUE	ricker	WGN
synthetic	AIC	100	-10	383875380	213	213	447	234	234	234	234	TRUE	ricker	WGN
synthetic	AIC	100	-10	2145501049	213	213	436	223	223	223	223	TRUE	ricker	WGN
synthetic	AIC	100	-10	4035281190	213	213	423	210	210	210	210	TRUE	ricker	WGN
synthetic	AIC	100	-10	3900368896	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
