frequency_hz,snr_db,repeat,feature,window_size,sta_size,lta_size,label_onset,label_end,label_width_samples,retained_scale_count,snr_definition,pearson_abs
100,-10,10,S,21,30,150,213,237,25,107,full_trace_mean_square,0.11870626320083116
100,-10,10,K,21,30,150,213,237,25,107,full_trace_mean_square,0.20040936939833415
100,-10,11,M,21,30,150,213,237,25,164,full_trace_mean_square,0.7658083268966547
100,-10,11,P,21,30,150,213,237,25,164,full_trace_mean_square,0.9040038494460442
100,-10,11,SLTA,21,30,150,213,237,25,164,full_trace_mean_square,0.7501600782731074
100,-10,11,Std,21,30,150,213,237,25,164,full_trace_mean_square,0.828539755997951
100,-10,11,S,21,30,150,213,237,25,164,full_trace_mean_square,0.47397711607049764
100,-10,11,K,21,30,150,213,237,25,164,full_trace_mean_square,0.5225075418343194
100,-10,12,M,21,30,150,213,237,25,120,full_trace_mean_square,0.8546744780500691
100,-10,12,P,21,30,150,213,237,25,120,full_trace_mean_square,0.9328348174261506
100,-10,12,SLTA,21,30,150,213,237,25,120,full_trace_mean_square,0.7693581342306416
100,-10,12,Std,21,30,150,213,237,25,120,full_trace_mean_square,0.8995568787332032
100,-10,12,S,21,30,150,213,237,25,120,full_trace_mean_square,0.31433142479428017
100,-10,12,K,21,30,150,213,237,25,120,full_trace_mean_square,0.536174858733873
100,-10,13,M,21,30,150,213,237,25,81,full_trace_mean_square,0.6037099792377383
100,-10,13,P,21,30,150,213,237,25,81,full_trace_mean_square,0.7038371477474746
100,-10,13,SLTA,21,30,150,213,237,25,81,full_trace_mean_square,0.4701559562832004
100,-10,13,Std,21,30,150,213,237,25,81,full_trace_mean_square,0.6320590691402937
100,-10,13,S,21,30,150,213,237,25,81,full_trace_mean_square,0.015831251657802754
100,-10,13,K,21,30,150,213,237,25,81,full_trace_mean_square,0.044574316439169925
100,-10,14,M,21,30,150,213,237,25,113,full_trace_mean_square,0.6933306163948141
100,-10,14,P,21,30,150,213,237,25,113,full_trace_mean_square,0.8490009638764904
100,-10,14,SLTA,21,30,150,213,237,25,113,full_trace_mean_square,0.6597282093193773
100,-10,14,Std,21,30,150,213,237,25,113,full_trace_mean_square,0.7414398758953901
100,-10,14,S,21,30,150,213,237,25,113,full_trace_mean_square,0.318186721086401
100,-10,14,K,21,30,150,213,237,25,113,full_trace_mean_square,0.33285014790364065
100,-10,15,M,21,30,150,213,237,25,85,full_trace_mean_square,0.7695210375049127
100,-10,15,P,21,30,150,213,237,25,85,full_trace_mean_square,0.9053810065559957
100,-10,15,SLTA,21,30,150,213,237,25,85,full_trace_mean_square,0.7887543940088969
100,-10,15,Std,21,30,150,213,237,25,85,full_trace_mean_square,0.8115915709889715
100,-10,15,S,21,30,150,213,237,25,85,full_trace_mean_square,0.14114290037988422
100,-10,15,K,21,30,150,213,237,25,85,full_trace_mean_square,0.24010724221336946
100,-10,16,M,21,30,150,213,237,25,122,full_trace_mean_square,0.762433667146465
100,-10,16,P,21,30,150,213,237,25,122,full_trace_mean_square,0.9045088098667119
100,-10,16,SLTA,21,30,150,213,237,25,122,full_trace_mean_square,0.7076589863660031
100,-10,16,Std,21,30,150,213,237,25,122,full_trace_mean_square,0.8285715409346693
100,-10,16,S,21,30,150,213,237,25,122,full_trace_mean_square,0.28659527800059387
100,-10,16,K,21,30,150,213,237,25,122,full_trace_mean_square,0.3665298639427514
100,-10,17,M,21,30,150,213,237,25,107,full_trace_mean_square,0.8092257042415139
100,-10,17,P,21,30,150,213,237,25,107,full_trace_mean_square,0.9101352160330496
100,-10,17,SLTA,21,30,150,213,237,25,107,full_trace_mean_square,0.7324287323890138
100,-10,17,Std,21,30,150,213,237,25,107,full_trace_mean_square,0.8169112844543505
100,-10,17,S,21,30,150,213,237,25,107,full_trace_mean_square,0.17972162200535574
100,-10,17,K,21,30,150,213,237,25,107,full_trace_mean_square,0.05781264495665003
100,-10,18,M,21,30,150,213,237,25,93,full_trace_mean_square,0.7196732586919827
100,-10,18,P,21,30,150,213,237,25,93,full_trace_mean_square,0.8908212767905667
100,-10,18,SLTA,21,30,150,213,237,25,93,full_trace_mean_square,0.7084534314545484
100,-10,18,Std,21,30,150,213,237,25,93,full_trace_mean_square,0.777734471967372
100,-10,18,S,21,30,150,213,237,25,93,full_trace_mean_square,0.26402530763336185
100,-10,18,K,21,30,150,213,237,25,93,full_trace_mean_square,0.4102468702833423
100,-10,19,M,21,30,150,213,237,25,119,full_trace_mean_square,0.6909177495813814
100,-10,19,P,21,30,150,213,237,25,119,full_trace_mean_square,0.8644696425463794
100,-10,19,SLTA,21,30,150,213,237,25,119,full_trace_mean_square,0.6555472347062746
100,-10,19,Std,21,30,150,213,237,25,119,full_trace_mean_square,0.7551047717767613
100,-10,19,S,21,30,150,213,237,25,119,full_trace_mean_square,0.23638203614033068
100,-10,19,K,21,30,150,213,237,25,119,full_trace_mean_square,0.24041133086361716
100,-10,20,M,21,30,150,213,237,25,132,full_trace_mean_square,0.735984050757371
100,-10,20,P,21,30,150,213,237,25,132,full_trace_mean_square,0.902799964904895
100,-10,20,SLTA,21,30,150,213,237,25,132,full_trace_mean_square,0.7498681284348826
100,-10,20,Std,21,30,150,213,237,25,132,full_trace_mean_square,0.8133612582255167
100,-10,20,S,21,30,150,213,237,25,132,full_trace_mean_square,0.3405373840573735
100,-10,20,K,21,30,150,213,237,25,132,full_trace_mean_square,0.30486971402848784
100,-10,21,M,21,30,150,213,237,25,118,full_trace_mean_square,0.7980553704867862
100,-10,21,P,21,30,150,213,237,25,118,full_trace_mean_square,0.889806112702375
100,-10,21,SLTA,21,30,150,213,237,25,118,full_trace_mean_square,0.7424449068452452
100,-10,21,Std,21,30,150,213,237,25,118,full_trace_mean_square,0.7974560397592941
100,-10,21,S,21,30,150,213,237,25,118,full_trace_mean_square,0.21790910006708938
100,-10,21,K,21,30,150,213,237,25,118,full_trace_mean_square,0.17533326847407696
100,-10,22,M,21,30,150,213,237,25,152,full_trace_mean_square,0.7443872699461732
100,-10,22,P,21,30,150,213,237,25,152,full_trace_mean_square,0.8693509122577386
100,-10,22,SLTA,21,30,150,213,237,25,152,full_trace_mean_square,0.7419412756557738
100,-10,22,Std,21,30,150,213,237,25,152,full_trace_mean_square,0.7806236811543993
100,-10,22,S,21,30,150,213,237,25,152,full_trace_mean_square,0.3674513967007617
100,-10,22,K,21,30,150,213,237,25,152,full_trace_mean_square,0.4266787698245358
100,-10,23,M,21,30,150,213,237,25,142,full_trace_mean_square,0.8409057696413439
100,-10,23,P,21,30,150,213,237,25,142,full_trace_mean_square,0.9261763064339541
100,-10,23,SLTA,21,30,150,213,237,25,142,full_trace_mean_square,0.7895768793984409
100,-10,23,Std,21,30,150,213,237,25,142,full_trace_mean_square,0.8678280095227885
100,-10,23,S,21,30,150,213,237,25,142,full_trace_mean_square,0.33935497649918933
100,-10,23,K,21,30,150,213,237,25,142,full_trace_mean_square,0.422332023077428
100,-10,24,M,21,30,150,213,237,25,128,full_trace_mean_square,0.7022351979597551
100,-10,24,P,21,30,150,213,237,25,128,full_trace_mean_square,0.8651910665163105
100,-10,24,SLTA,21,30,150,213,237,25,128,full_trace_mean_square,0.7746776781824383
100,-10,24,Std,21,30,150,213,237,25,128,full_trace_mean_square,0.7935882583970426
100,-10,24,S,21,30,150,213,237,25,128,full_trace_mean_square,0.2832091838363386
100,-10,24,K,21,30,150,213,237,25,128,full_trace_mean_square,0.38733109559434076
100,-10,25,M,21,30,150,213,237,25,95,full_trace_mean_square,0.7157034410753338
100,-10,25,P,21,30,150,213,237,25,95,full_trace_mean_square,0.8499244390492439
100,-10,25,SLTA,21,30,150,213,237,25,95,full_trace_mean_square,0.6762146412090448
100,-10,25,Std,21,30,150,213,237,25,95,full_trace_mean_square,0.7594398469735089
100,-10,25,S,21,30,150,213,237,25,95,full_trace_mean_square,0.12332150549943764
100,-10,25,K,21,30,150,213,237,25,95,full_trace_mean_square,0.2172204219298229
100,-10,26,M,21,30,150,213,237,25,106,full_trace_mean_square,0.8111547526897682
100,-10,26,P,21,30,150,213,237,25,106,full_trace_mean_square,0.8908306062523388
100,-10,26,SLTA,21,30,150,213,237,25,106,full_trace_mean_square,0.6920754312314835
100,-10,26,Std,21,30,150,213,237,25,106,full_trace_mean_square,0.8118831480943647
100,-10,26,S,21,30,150,213,237,25,106,full_trace_mean_square,0.15289154695136023
100,-10,26,K,21,30,150,213,237,25,106,full_trace_mean_square,0.037068167457735106
100,-10,27,M,21,30,150,213,237,25,121,full_trace_mean_square,0.833517367780089
100,-10,27,P,21,30,150,213,237,25,121,full_trace_mean_square,0.9164821458906075
100,-10,27,SLTA,21,30,150,213,237,25,121,full_trace_mean_square,0.7352938262234543
100,-10,27,Std,21,30,150,213,237,25,121,full_trace_mean_square,0.8413968150089374
100,-10,27,S,21,30,150,213,237,25,121,full_trace_mean_square,0.19027718610148797
100,-10,27,K,21,30,150,213,237,25,121,full_trace_mean_square,0.14697231361116567
100,-10,28,M,21,30,150,213,237,25,146,full_trace_mean_square,0.8040505566631576
100,-10,28,P,21,30,150,213,237,25,146,full_trace_mean_square,0.9102600331688995
100,-10,28,SLTA,21,30,150,213,237,25,146,full_trace_mean_square,0.7578253990941072
100,-10,28,Std,21,30,150,213,237,25,146,full_trace_mean_square,0.8365081569780758
100,-10,28,S,21,30,150,213,237,25,146,full_trace_mean_square,0.4403267632047319
100,-10,28,K,21,30,150,213,237,25,146,full_trace_mean_square,0.5746287216863095
100,-10,29,M,21,30,150,213,237,25,82,full_trace_mean_square,0.730354238056204
100,-10,29,P,21,30,150,213,237,25,82,full_trace_mean_square,0.8793029654826663
100,-10,29,SLTA,21,30,150,213,237,25,82,full_trace_mean_square,0.7364990170335022
100,-10,29,Std,21,30,150,213,237,25,82,full_trace_mean_square,0.7801346747960562
100,-10,29,S,21,30,150,213,237,25,82,full_trace_mean_square,0.2762304918703767
100,-10,29,K,21,30,150,213,237,25,82,full_trace_mean_square,0.2246466360036483
100,-10,30,M,21,30,150,213,237,25,120,full_trace_mean_square,0.8589765401959158
100,-10,30,P,21,30,150,213,237,25,120,full_trace_mean_square,0.9315397757203006
100,-10,30,SLTA,21,30,150,213,237,25,120,full_trace_mean_square,0.7621766877441312
100,-10,30,Std,21,30,150,213,237,25,120,full_trace_mean_square,0.8741612240431895
100,-10,30,S,21,30,150,213,237,25,120,full_trace_mean_square,0.09423834485417576
100,-10,30,K,21,30,150,213,237,25,120,full_trace_mean_square,0.10667664306701528
100,-10,31,M,21,30,150,213,237,25,130,full_trace_mean_square,0.8343767670663707
100,-10,31,P,21,30,150,213,237,25,130,full_trace_mean_square,0.9074746772393403
100,-10,31,SLTA,21,30,150,213,237,25,130,full_trace_mean_square,0.7475540229163194
100,-10,31,Std,21,30,150,213,237,25,130,full_trace_mean_square,0.8437344126817511
100,-10,31,S,21,30,150,213,237,25,130,full_trace_mean_square,0.10828109831517319
100,-10,31,K,21,30,150,213,237,25,130,full_trace_mean_square,0.09727568687161849
100,-10,32,M,21,30,150,213,237,25,134,full_trace_mean_square,0.8896110538978613
100,-10,32,P,21,30,150,213,237,25,134,full_trace_mean_square,0.9396371033048825
100,-10,32,SLTA,21,30,150,213,237,25,134,full_trace_mean_square,0.7825933237866887
100,-10,32,Std,21,30,150,213,237,25,134,full_trace_mean_square,0.9066829300489415
100,-10,32,S,21,30,150,213,237,25,134,full_trace_mean_square,0.3752600378769872
100,-10,32,K,21,30,150,213,237,25,134,full_trace_mean_square,0.4516030390531021
100,-10,33,M,21,30,150,213,237,25,125,full_trace_mean_square,0.682489325399466
100,-10,33,P,21,30,150,213,237,25,125,full_trace_mean_square,0.8602290295072301
100,-10,33,SLTA,21,30,150,213,237,25,125,full_trace_mean_square,0.6231660774596522
100,-10,33,Std,21,30,150,213,237,25,125,full_trace_mean_square,0.7628464289026493
100,-10,33,S,21,30,150,213,237,25,125,full_trace_mean_square,0.397453251057126
100,-10,33,K,21,30,150,213,237,25,125,full_trace_mean_square,0.4065777557190304
