waveform,noise_type,frequency_hz,snr_db,repeat,preprocessing,feature,window_size,pearson_r,pc_abs,label_onset,label_end,label_width_samples,label_fraction,retained_scale_count,retained_scale_fraction,true_arrival,reference_method,true_peak_sample
ricker,WGN,50,-5.0,1,CWT-calibrated_HOS-iCWT,P,25,0.8154675373313813,0.8154675373313813,276,324,49,0.049,44,0.44,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,1,CWT-calibrated_HOS-iCWT,P,27,0.8370481859298852,0.8370481859298852,276,324,49,0.049,44,0.44,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,1,CWT-calibrated_HOS-iCWT,P,29,0.857546647279911,0.857546647279911,276,324,49,0.049,44,0.44,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,1,CWT-calibrated_HOS-iCWT,P,31,0.8763767680949426,0.8763767680949426,276,324,49,0.049,44,0.44,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,1,CWT-calibrated_HOS-iCWT,P,33,0.893136307418103,0.893136307418103,276,324,49,0.049,44,0.44,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,1,CWT-calibrated_HOS-iCWT,P,35,0.9077244004711815,0.9077244004711815,276,324,49,0.049,44,0.44,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,1,CWT-calibrated_HOS-iCWT,P,37,0.9204822319679348,0.9204822319679348,276,324,49,0.049,44,0.44,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,1,CWT-calibrated_HOS-iCWT,P,39,0.9325765550510107,0.9325765550510107,276,324,49,0.049,44,0.44,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,3,0.5594660303103414,0.5594660303103414,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,5,0.6091762703359359,0.6091762703359359,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,7,0.6523896890536064,0.6523896890536064,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,9,0.6752370686980292,0.6752370686980292,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,11,0.6878264127151357,0.6878264127151357,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,13,0.7025159712515611,0.7025159712515611,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,15,0.7213270185228636,0.7213270185228636,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,17,0.7416649845725208,0.7416649845725208,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,19,0.7622009347928298,0.7622009347928298,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,21,0.783077159741704,0.783077159741704,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,23,0.8043912900000456,0.8043912900000456,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,25,0.8258755916347192,0.8258755916347192,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,27,0.8471095429100818,0.8471095429100818,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,29,0.8674574415958685,0.8674574415958685,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,31,0.8860337032305894,0.8860337032305894,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,33,0.9020373364221612,0.9020373364221612,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,35,0.9152503777708751,0.9152503777708751,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,37,0.9263240928458784,0.9263240928458784,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,2,CWT-calibrated_HOS-iCWT,P,39,0.9364678009834234,0.9364678009834234,276,324,49,0.049,37,0.37,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,3,0.4810044012803011,0.4810044012803011,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,5,0.521834615325657,0.521834615325657,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,7,0.5651694181905534,0.5651694181905534,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,9,0.5995371254387624,0.5995371254387624,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,11,0.6251433862891695,0.6251433862891695,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,13,0.6480236775486217,0.6480236775486217,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,15,0.6716504174405021,0.6716504174405021,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,17,0.6962871300362932,0.6962871300362932,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,19,0.7213012641846129,0.7213012641846129,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,21,0.7462976135576469,0.7462976135576469,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,23,0.77102379364567,0.77102379364567,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
ricker,WGN,50,-5.0,3,CWT-calibrated_HOS-iCWT,P,25,0.7951351223283187,0.7951351223283187,276,324,49,0.049,53,0.53,276,AIC_prepeak_clean,300
