condition,frequency_hz,snr_db,n,reliable_count,reliable_rate_pct,le2_pct,le5_pct,le10_pct,mae_ms,median_ae_ms,rmse_ms,signed_error_ms
Recorded background noise,100,-10.0,200.0,174.0,87.0,5.5,21.5,79.0,13.189655172413794,6.0,34.396187305418394,-0.3735632183908046
Recorded background noise,100,-8.0,200.0,184.0,92.0,4.5,26.0,88.0,7.918478260869565,6.0,17.693188323292052,3.8967391304347827
Recorded background noise,100,-6.0,200.0,195.0,97.5,2.5,32.5,94.5,7.328205128205128,6.0,14.24312699749134,4.1692307692307695
Recorded background noise,100,-4.0,200.0,199.0,99.5,1.5,41.5,98.0,6.050251256281407,6.0,9.164054751990925,4.261306532663316
Recorded background noise,100,-2.0,200.0,200.0,100.0,2.0,42.0,99.5,5.445,6.0,6.177782773778955,4.995
Recorded background noise,100,0.0,200.0,200.0,100.0,0.0,40.5,100.0,5.335,6.0,5.435531252784773,5.335
Recorded background noise,100,2.0,200.0,200.0,100.0,0.0,40.0,99.0,5.665,6.0,6.425340457905713,5.015
Recorded background noise,100,4.0,200.0,200.0,100.0,0.0,34.5,99.0,5.975,6.0,7.891451070620662,4.945
Recorded background noise,100,6.0,200.0,200.0,100.0,0.0,37.0,100.0,5.54,6.0,5.580322571321482,5.54
Recorded background noise,150,-10.0,200.0,179.0,89.5,32.5,78.5,79.5,14.368715083798882,3.0,47.4017655188251,-7.4748603351955305
Recorded background noise,150,-8.0,200.0,191.0,95.5,40.0,92.0,94.0,3.25130890052356,3.0,6.994013895217263,1.5759162303664922
Recorded background noise,150,-6.0,200.0,195.0,97.5,58.5,96.5,96.5,2.805128205128205,2.0,6.587089159085642,2.0871794871794873
Recorded background noise,150,-4.0,200.0,199.0,99.5,75.0,98.5,98.5,2.5879396984924625,2.0,5.91098117848994,1.5527638190954773
Recorded background noise,150,-2.0,200.0,200.0,100.0,88.0,100.0,100.0,2.03,2.0,2.0976176963403033,2.03
Recorded background noise,150,0.0,200.0,200.0,100.0,94.5,100.0,100.0,1.985,2.0,2.018662923818635,1.985
Recorded background noise,150,2.0,200.0,200.0,100.0,98.5,100.0,100.0,1.98,2.0,1.9924858845171276,1.98
Recorded background noise,150,4.0,200.0,200.0,100.0,100.0,100.0,100.0,1.975,2.0,1.981161275615895,1.975
Recorded background noise,150,6.0,200.0,200.0,100.0,100.0,100.0,100.0,1.99,2.0,1.9924858845171276,1.99
Recorded background noise,200,-10.0,200.0,178.0,89.0,78.0,80.5,81.0,11.337078651685394,1.0,42.843981392641766,-5.831460674157303
Recorded background noise,200,-8.0,200.0,188.0,94.0,88.5,90.0,91.5,2.7393617021276597,1.0,12.993656390061219,0.26063829787234044
Recorded background noise,200,-6.0,200.0,194.0,97.0,94.5,95.5,95.5,1.3402061855670102,1.0,4.569057743101285,-0.030927835051546393
Recorded background noise,200,-4.0,200.0,199.0,99.5,99.0,99.0,99.0,0.9195979899497487,1.0,3.7072521620419647,0.02512562814070352
Recorded background noise,200,-2.0,200.0,199.0,99.5,99.0,99.0,99.0,0.6331658291457286,0.0,2.504267714107179,-0.1407035175879397
Recorded background noise,200,0.0,200.0,200.0,100.0,99.5,99.5,99.5,0.585,0.0,3.5825968235345713,-0.305
Recorded background noise,200,2.0,200.0,200.0,100.0,100.0,100.0,100.0,0.185,0.0,0.4301162633521313,-0.065
Recorded background noise,200,4.0,200.0,200.0,100.0,100.0,100.0,100.0,0.1,0.0,0.31622776601683794,-0.06
Recorded background noise,200,6.0,200.0,200.0,100.0,100.0,100.0,100.0,0.06,0.0,0.2449489742783178,-0.06
Recorded background noise,250,-10.0,200.0,181.0,90.5,72.0,77.0,77.0,17.591160220994475,1.0,52.01497871815122,-14.486187845303867
Recorded background noise,250,-8.0,200.0,184.0,92.0,77.0,83.0,83.0,11.88586956521739,1.0,41.22519016751561,-9.048913043478262
Recorded background noise,250,-6.0,200.0,191.0,95.5,76.5,88.0,88.0,10.31413612565445,1.0,38.8490163749152,-8.86910994764398
Recorded background noise,250,-4.0,200.0,190.0,95.0,79.0,92.0,92.0,3.7526315789473683,1.0,17.216118518472893,-2.289473684210526
Recorded background noise,250,-2.0,200.0,192.0,96.0,78.5,94.5,95.0,2.0208333333333335,1.0,6.11436150932104,-2.0208333333333335
Recorded background noise,250,0.0,200.0,198.0,99.0,78.5,98.5,98.5,1.6616161616161615,1.0,2.798809270624444,-1.6616161616161615
Recorded background noise,250,2.0,200.0,200.0,100.0,84.5,99.0,99.0,1.94,1.0,5.685068161420758,-1.94
Recorded background noise,250,4.0,200.0,200.0,100.0,90.5,99.0,99.0,1.765,1.0,4.479397280885008,-1.765
Recorded background noise,250,6.0,200.0,200.0,100.0,93.5,100.0,100.0,1.33,1.0,1.4560219778561037,-1.33
Recorded background noise,300,-10.0,200.0,181.0,90.5,70.0,72.5,72.5,24.2707182320442,1.0,65.62832732948706,-18.701657458563535
Recorded background noise,300,-8.0,200.0,186.0,93.0,78.5,80.5,81.0,16.344086021505376,1.0,54.377909018711925,-12.150537634408602
Recorded background noise,300,-6.0,200.0,188.0,94.0,83.0,85.5,85.5,11.71808510638298,1.0,45.303996817715486,-8.48404255319149
Recorded background noise,300,-4.0,200.0,195.0,97.5,91.5,93.5,93.5,3.3794871794871795,1.0,13.383686970453132,-0.24102564102564103
Recorded background noise,300,-2.0,200.0,199.0,99.5,92.0,94.5,94.5,4.110552763819095,1.0,15.435389735325993,-1.015075376884422
Recorded background noise,300,0.0,200.0,199.0,99.5,97.5,98.5,98.5,1.6231155778894473,1.0,6.279503229079518,-1.6231155778894473
Recorded background noise,300,2.0,200.0,200.0,100.0,100.0,100.0,100.0,1.005,1.0,1.0074720839804943,-1.005
Recorded background noise,300,4.0,200.0,200.0,100.0,99.5,99.5,99.5,1.38,1.0,5.4671747731346585,-1.38
Recorded background noise,300,6.0,200.0,200.0,100.0,99.5,99.5,99.5,1.215,1.0,3.2672618505409083,-1.215
WGN,100,-10.0,200.0,198.0,99.0,11.0,36.0,97.0,6.075757575757576,6.0,9.571369343574153,3.9242424242424243
WGN,100,-8.0,200.0,200.0,100.0,7.5,48.5,98.5,5.495,6.0,8.825247871873062,3.925
WGN,100,-6.0,200.0,200.0,100.0,5.5,52.0,100.0,4.84,5.0,5.025932749251625,4.84
WGN,100,-4.0,200.0,200.0,100.0,2.0,44.5,100.0,5.145,6.0,5.272096357237793,5.145
WGN,100,-2.0,200.0,200.0,100.0,0.5,41.0,100.0,5.315,6.0,5.403239768879408,5.315
WGN,100,0.0,200.0,200.0,100.0,0.0,34.0,100.0,5.46,6.0,5.529014378711635,5.46
WGN,100,2.0,200.0,200.0,100.0,0.0,32.5,100.0,5.595,6.0,5.631607230622533,5.595
WGN,100,4.0,200.0,200.0,100.0,0.0,30.5,100.0,5.655,6.0,5.681989088338695,5.655
WGN,100,6.0,200.0,200.0,100.0,0.0,28.999999999999996,100.0,5.7,6.0,5.720139858430037,5.7
WGN,150,-10.0,200.0,198.0,99.0,48.5,96.0,96.0,3.590909090909091,3.0,9.659610800031272,0.7222222222222222
WGN,150,-8.0,200.0,200.0,100.0,66.0,99.5,99.5,2.33,2.0,4.975942121849892,1.67
WGN,150,-6.0,200.0,200.0,100.0,85.5,99.5,99.5,2.095,2.0,4.740780526453424,1.485
WGN,150,-4.0,200.0,200.0,100.0,97.0,100.0,100.0,1.8,2.0,1.8841443681416772,1.8
WGN,150,-2.0,200.0,200.0,100.0,99.5,100.0,100.0,1.86,2.0,1.9,1.86
WGN,150,0.0,200.0,200.0,100.0,100.0,100.0,100.0,1.915,2.0,1.9377822375076101,1.915
WGN,150,2.0,200.0,200.0,100.0,100.0,100.0,100.0,1.95,2.0,1.9621416870348585,1.95
WGN,150,4.0,200.0,200.0,100.0,100.0,100.0,100.0,1.985,2.0,1.9887181801351341,1.985
WGN,150,6.0,200.0,200.0,100.0,100.0,100.0,100.0,2.0,2.0,2.0,2.0
WGN,200,-10.0,200.0,192.0,96.0,86.5,90.5,90.5,4.015625,1.0,14.794952686642834,-2.6822916666666665
WGN,200,-8.0,200.0,199.0,99.5,96.5,97.0,97.5,1.64321608040201,1.0,5.789003611509528,-0.507537688442211
WGN,200,-6.0,200.0,198.0,99.0,98.0,98.0,98.0,1.101010101010101,1.0,3.963214693537395,-0.26262626262626265
WGN,200,-4.0,200.0,200.0,100.0,100.0,100.0,100.0,0.495,0.0,0.7035623639735145,-0.085
WGN,200,-2.0,200.0,200.0,100.0,100.0,100.0,100.0,0.385,0.0,0.6204836822995429,-0.065
WGN,200,0.0,200.0,200.0,100.0,100.0,100.0,100.0,0.24,0.0,0.4898979485566356,-0.09
WGN,200,2.0,200.0,200.0,100.0,100.0,100.0,100.0,0.16,0.0,0.4,-0.08
WGN,200,4.0,200.0,200.0,100.0,100.0,100.0,100.0,0.1,0.0,0.31622776601683794,-0.07
WGN,200,6.0,200.0,200.0,100.0,100.0,100.0,100.0,0.05,0.0,0.22360679774997896,-0.03
WGN,250,-10.0,200.0,187.0,93.5,75.0,87.0,88.0,6.106951871657754,1.0,25.284477705387243,-5.133689839572193
WGN,250,-8.0,200.0,187.0,93.5,80.0,92.0,92.5,1.9839572192513368,1.0,6.623164663544747,-1.9839572192513368
WGN,250,-6.0,200.0,192.0,96.0,74.5,95.0,95.0,1.59375,1.0,2.174664725116648,-1.59375
WGN,250,-4.0,200.0,190.0,95.0,70.5,95.0,95.0,1.5789473684210527,1.0,1.8035053587243284,-1.5789473684210527
WGN,250,-2.0,200.0,196.0,98.0,73.5,98.0,98.0,1.5816326530612246,1.0,1.8013600304169273,-1.5816326530612246
WGN,250,0.0,200.0,199.0,99.5,81.5,99.5,99.5,1.4874371859296482,1.0,1.6805120062097372,-1.4874371859296482
WGN,250,2.0,200.0,200.0,100.0,89.0,100.0,100.0,1.385,1.0,1.541103500742244,-1.385
WGN,250,4.0,200.0,200.0,100.0,93.0,100.0,100.0,1.345,1.0,1.4747881203752624,-1.345
