condition,frequency_hz,snr_db,n,reliable_count,reliable_rate_pct,le2_pct,le5_pct,le10_pct,mae_ms,median_ae_ms,rmse_ms,signed_error_ms
WGN,250,6.0,200.0,200.0,100.0,94.5,100.0,100.0,1.32,1.0,1.4387494569938157,-1.32
WGN,300,-10.0,200.0,174.0,87.0,72.5,77.0,77.5,7.022988505747127,1.0,20.473981245619452,-5.597701149425287
WGN,300,-8.0,200.0,191.0,95.5,85.5,90.5,90.5,3.450261780104712,1.0,12.509891374386626,-3.450261780104712
WGN,300,-6.0,200.0,190.0,95.0,86.5,92.5,93.0,1.8631578947368421,1.0,6.094864101934729,-1.8631578947368421
WGN,300,-4.0,200.0,196.0,98.0,87.5,95.5,95.5,1.913265306122449,1.0,5.459031086938713,-1.913265306122449
WGN,300,-2.0,200.0,198.0,99.0,95.5,99.0,99.0,1.1111111111111112,1.0,1.1849221088495243,-1.1111111111111112
WGN,300,0.0,200.0,200.0,100.0,99.5,100.0,100.0,1.04,1.0,1.0630145812734648,-1.04
WGN,300,2.0,200.0,200.0,100.0,100.0,100.0,100.0,1.015,1.0,1.0222524150130436,-1.015
WGN,300,4.0,200.0,200.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,-1.0
WGN,300,6.0,200.0,200.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,-1.0
