method,total_records,successful_picks,success_rate_pct,le2_pct,le5_pct,le10_pct,mae_ms,median_ae_ms,rmse_ms,signed_error_ms,error_over_50ms
AM-FCM,816,786,96.32352941176471,49.877450980392155,72.67156862745098,79.90196078431373,17.0,2.0,61.8140526032442,13.486005089058525,60
Chen-FCM,816,812,99.50980392156863,28.186274509803923,61.029411764705884,70.83333333333333,45.025862068965516,4.0,122.42508013599753,-34.02093596059113,137
STA-LTA,816,747,91.54411764705883,21.44607843137255,45.09803921568628,55.14705882352941,111.42838018741634,6.0,224.11764516767084,19.781793842034805,249
AIC,816,812,99.50980392156863,17.647058823529413,20.833333333333332,26.470588235294116,189.61330049261085,62.0,314.1108453280615,167.36699507389162,416
